(1, 4, 1, "souple", 29.99)
(2, 2, 2, "souple", 9.99)
(3, 2, 2, "souple", 24.99)
(4, 4, 1, "rigide", 9.99)
(5, 3, 2, "souple", 19.99)
(6, 4, 3, "souple", 14.99)
(7, 4, 3, "souple", 9.99)
(8, 1, 1, "rigide", 24.99)
(9, 3, 2, "rigide", 9.99)
(10, 2, 3, "souple", 24.99)
(11, 2, 3, "rigide", 24.99)
(12, 5, 3, "rigide", 9.99)
(13, 1, 2, "rigide", 9.99)
(14, 2, 2, "rigide", 29.99)
(15, 1, 1, "rigide", 19.99)
(16, 2, 2, "souple", 19.99)
(17, 4, 2, "souple", 24.99)
(18, 5, 1, "rigide", 14.99)
(19, 3, 2, "rigide", 24.99)
(20, 5, 2, "souple", 19.99)
(21, 4, 1, "rigide", 24.99)
(22, 3, 2, "rigide", 14.99)
(23, 3, 1, "souple", 14.99)
(24, 5, 2, "rigide", 19.99)
(25, 1, 1, "souple", 29.99)
(26, 4, 3, "souple", 14.99)
(27, 5, 3, "rigide", 9.99)
(28, 2, 1, "souple", 14.99)
(29, 3, 2, "souple", 9.99)
(30, 3, 3, "souple", 19.99)
(31, 4, 2, "rigide", 19.99)
(32, 3, 1, "rigide", 24.99)
(33, 1, 2, "souple", 29.99)
(34, 4, 1, "rigide", 24.99)
(35, 5, 2, "souple", 29.99)
(36, 4, 2, "rigide", 29.99)
(37, 4, 3, "souple", 19.99)
(38, 5, 1, "rigide", 9.99)
(39, 3, 1, "souple", 19.99)
(40, 3, 2, "rigide", 29.99)
(41, 5, 1, "rigide", 19.99)
(42, 4, 2, "rigide", 24.99)
(43, 4, 3, "rigide", 24.99)
(44, 3, 1, "rigide", 24.99)
(45, 1, 2, "souple", 14.99)
(46, 1, 2, "rigide", 14.99)
(47, 4, 2, "souple", 29.99)
(48, 1, 2, "souple", 24.99)
(49, 3, 2, "rigide", 29.99)
(50, 4, 1, "souple", 9.99)
(51, 5, 3, "rigide", 19.99)
(52, 1, 2, "rigide", 14.99)
(53, 2, 3, "souple", 24.99)
(54, 3, 3, "rigide", 24.99)
(55, 2, 3, "souple", 14.99)
(56, 3, 3, "souple", 9.99)
(57, 5, 2, "rigide", 14.99)
(58, 5, 2, "souple", 24.99)
(59, 2, 2, "souple", 14.99)
(60, 3, 2, "souple", 19.99)
(61, 3, 2, "rigide", 19.99)
(62, 1, 2, "rigide", 24.99)
(63, 4, 1, "rigide", 14.99)
(64, 3, 1, "rigide", 24.99)
(65, 2, 3, "rigide", 9.99)
(66, 2, 3, "souple", 24.99)
(67, 4, 2, "souple", 9.99)
(68, 5, 2, "souple", 29.99)
(69, 1, 2, "rigide", 19.99)
(70, 2, 2, "rigide", 24.99)
(71, 2, 3, "souple", 9.99)
(72, 1, 2, "rigide", 14.99)
(73, 4, 1, "rigide", 14.99)
(74, 3, 3, "souple", 29.99)
(75, 3, 2, "souple", 29.99)
(76, 3, 1, "souple", 19.99)
(77, 3, 3, "rigide", 9.99)
(78, 4, 3, "souple", 14.99)
(79, 2, 3, "souple", 29.99)
(80, 3, 3, "souple", 14.99)
(81, 4, 3, "souple", 24.99)
(82, 1, 2, "rigide", 14.99)
(83, 2, 3, "souple", 29.99)
(84, 1, 1, "souple", 24.99)
(85, 3, 2, "rigide", 19.99)
(86, 4, 2, "souple", 14.99)
(87, 2, 2, "rigide", 9.99)
(88, 5, 1, "souple", 14.99)
(89, 5, 1, "souple", 9.99)
(90, 4, 2, "souple", 29.99)
(91, 4, 1, "souple", 19.99)
(92, 4, 2, "rigide", 14.99)
(93, 1, 3, "rigide", 24.99)
(94, 1, 2, "rigide", 29.99)
(95, 2, 3, "souple", 19.99)
(96, 5, 3, "rigide", 29.99)
(97, 5, 2, "souple", 24.99)
(98, 5, 1, "souple", 19.99)
(99, 1, 1, "rigide", 14.99)
(100, 1, 3, "souple", 29.99)
